sampleID	SequencingBatch	Sequencing run	fastq_fwd_file_name	fastq_rev_file_name	Site	Region	Latitude	Longitude	ApproximateShellLength	Age	CohortYear	TransplantationYear	TransplantationAge	YearsSpentAtTransplantationSite	AdditionalSiteInfo	AdditionalComments
TM17	Y3	HN00138609	Bohol_Tm_1_1.fastq.gz	Bohol_Tm_1_2.fastq.gz	Bohol	Bohol	9.6287333	123.8048167								
TM18	Y3	HN00138609	Bohol_Tm_2_1.fastq.gz	Bohol_Tm_2_2.fastq.gz	Bohol	Bohol	9.6287333	123.8048167								
TM19	Y3	HN00138609	Bohol_Tm_3_1.fastq.gz	Bohol_Tm_3_2.fastq.gz	Bohol	Bohol	9.6287333	123.8048167								
TM20	Y3	HN00138609	Camiguin_Tm_1_1.fastq.gz	Camiguin_Tm_1_2.fastq.gz	Camiguin	Camiguin	9.107413439	124.8032036								
TM21	Y3	HN00138609	Camiguin_Tm_2_1.fastq.gz	Camiguin_Tm_2_2.fastq.gz	Camiguin	Camiguin	9.107413439	124.8032036								
TM22	Y3	HN00138609	Camiguin_Tm_4_1.fastq.gz	Camiguin_Tm_4_2.fastq.gz	Camiguin	Camiguin	9.107413439	124.8032036								
TM23	Y3	HN00138609	Samar_Tm_1_1.fastq.gz	Samar_Tm_1_2.fastq.gz	Guiuan	Samar	11.0583	125.6537								
TM24	Y3	HN00138609	Samar_Tm_3_1.fastq.gz	Samar_Tm_3_2.fastq.gz	Guiuan	Samar	11.0583	125.6537								
TM25	Y3	HN00138609	Samar_Tm_4_1.fastq.gz	Samar_Tm_4_2.fastq.gz	Guiuan	Samar	11.0583	125.6537								
TM26	Y3	HN00147512	SEM_Tm_7_1.fastq.gz	SEM_Tm_7_2.fastq.gz	Semirara	Antique	12.08708129	121.3460231								
TM27	Y3	HN00147512	SEM_Tm_8_1.fastq.gz	SEM_Tm_8_2.fastq.gz	Semirara	Antique	12.08708129	121.3460231								
TM28	Y3	HN00147512	SEM_Tm_9_1.fastq.gz	SEM_Tm_9_2.fastq.gz	Semirara	Antique	12.08708129	121.3460231								
TN01	Y1	HN00102818	SEMIRARA-Tm-4_1.fastq.gz	SEMIRARA-Tm-4_2.fastq.gz	Semirara	Antique	12.08708129	121.3460231								
TN02	Y1	HN00102818	SEMIRARA-Tn-1_1.fastq.gz	SEMIRARA-Tn-1_2.fastq.gz	Semirara	Antique	12.08708129	121.3460231								
TN03	Y1	HN00102818	SEMIRARA-Tn-3_1.fastq.gz	SEMIRARA-Tn-3_2.fastq.gz	Semirara	Antique	12.08708129	121.3460231								
TN04	Y1	HN00102818	SEMIRARA-Tn-4_1.fastq.gz	SEMIRARA-Tn-4_2.fastq.gz	Semirara	Antique	12.08708129	121.3460231								
TN05	Y2	HN00122531	BAU-Tn-1_1.fastq.gz	BAU-Tn-1_2.fastq.gz	Bauan	Batangas	13.80308333	120.9117833								
TN06	Y2	HN00122531	BAU-Tn-2_1.fastq.gz	BAU-Tn-2_2.fastq.gz	Bauan	Batangas	13.80308333	120.9117833								
TN07	Y2	HN00122531	CAL-C-Tn-1_1.fastq.gz	CAL-C-Tn-1_2.fastq.gz	Cagbalisay	Calaguas	14.4559	122.9732167								
TN08	Y2	HN00122531	CAL-C-Tn-2_1.fastq.gz	CAL-C-Tn-2_2.fastq.gz	Cagbalisay	Calaguas	14.4559	122.9732167								
TN09	Y2	HN00122531	CAL-C-Tn-3_1.fastq.gz	CAL-C-Tn-3_2.fastq.gz	Cagbalisay	Calaguas	14.4559	122.9732167								
TN10	Y2	HN00122531	CAL-M-Tn-1_1.fastq.gz	CAL-M-Tn-1_2.fastq.gz	Mangkawayan	Calaguas	14.46246667	122.9573								
TN11	Y2	HN00122531	CAL-M-Tn-2_1.fastq.gz	CAL-M-Tn-2_2.fastq.gz	Mangkawayan	Calaguas	14.46246667	122.9573								
TN12	Y2	HN00122531	CAL-M-Tn-3_1.fastq.gz	CAL-M-Tn-3_2.fastq.gz	Mangkawayan	Calaguas	14.46246667	122.9573								
TN13	Y2	HN00122531	CAL-Q-Tn-1_1.fastq.gz	CAL-Q-Tn-1_2.fastq.gz	Quinamanucan	Calaguas	14.2009667	122.9506667								
TN14	Y2	HN00122531	CAL-Q-Tn-2_1.fastq.gz	CAL-Q-Tn-2_2.fastq.gz	Quinamanucan	Calaguas	14.2009667	122.9506667								
TN15	Y2	HN00122531	CAL-S-Tn-1_1.fastq.gz	CAL-S-Tn-1_2.fastq.gz	Siapa	Calaguas	14.45175	122.98565								
TN16	Y2	HN00122531	CAL-S-Tn-4_1.fastq.gz	CAL-S-Tn-4_2.fastq.gz	Siapa	Calaguas	14.45175	122.98565								
